emotion,prompt
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one teenage man wearing a sleek black VR headset, eyes fully occluded by the VR visor, expressive lower face visible, laughing happily, open mouth laugh, joyful mood, close-up portrait, front view, bright high-key lighting, blurred living room background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one teenage woman wearing a compact gray VR headset, VR goggles covering the eyes, visible mouth and chin, joyful expression, wide open-mouth smile, raised cheeks, tight portrait framing, frontal angle, cool blue tech lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, best quality, realistic photo of one adult african woman wearing a wireless VR headset with head strap, VR goggles covering the eyes, visible mouth and chin, gentle happy smile, relaxed joyful face, tight portrait framing, frontal angle, softbox lighting, blurred living room background, crisp details, professional photography"
happy,"best quality, highly detailed, professional portrait photo of one teenage hispanic man wearing a wireless VR headset with head strap, eyes fully occluded by the VR visor, expressive lower face visible, excited happy expression, grinning widely, tight portrait framing, frontal angle, bright high-key lighting, clean neutral background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, realistic photo of one adult european man wearing a matte black VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, medium close-up, centered composition, softbox lighting, white seamless backdrop, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one teenage east asian man wearing a modern white VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, laughing happily, open mouth laugh, joyful mood, front view, head and shoulders portrait, rim lighting, dimly lit room background, crisp details, professional photography"
happy,"best quality, highly detailed, professional portrait photo of one young asian woman wearing a compact gray VR headset, eyes fully occluded by the VR visor, expressive lower face visible, delighted expression, beaming smile, dimpled cheeks, medium close-up, centered composition, rim lighting, dimly lit room background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one teenage middle eastern man wearing a sleek black VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, delighted expression, beaming smile, dimpled cheeks, upper body portrait, facing camera, cool blue tech lighting, dimly lit room background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one young african woman wearing a high-tech VR head-mounted display, eyes fully occluded by the VR visor, expressive lower face visible, euphoric expression, big laughing smile, slight three-quarter view portrait, natural window light, white seamless backdrop, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, realistic photo of one teenage man wearing a futuristic silver VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, joyful expression, wide open-mouth smile, raised cheeks, head-and-shoulders shot, eye-level camera, bright high-key lighting, minimalist office background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one teenage woman wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, gentle happy smile, relaxed joyful face, close-up face shot, symmetrical composition, warm golden lighting, plain white background, crisp details, professional photography"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged european woman wearing a wireless VR headset with head strap, head-mounted display covering both eyes, mouth and chin clearly visible, euphoric expression, big laughing smile, medium close-up, centered composition, rim lighting, soft gradient background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one adult african man wearing a glossy white VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, head-and-shoulders shot, eye-level camera, neon ambient lighting, black seamless background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one teenage east asian man wearing a compact gray VR headset, eyes fully occluded by the VR visor, expressive lower face visible, cheerful grin, bright smile, lifted cheeks, close-up portrait, front view, natural window light, soft gradient background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one adult african man wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, amused smile, soft laughter, upper body portrait, facing camera, warm golden lighting, cyberpunk neon background with bokeh, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one adult east asian woman wearing a high-tech VR head-mounted display, upper half of face hidden behind the VR headset, jaw and lips clearly visible, joyful expression, wide open-mouth smile, raised cheeks, tight portrait framing, frontal angle, neon ambient lighting, clean neutral background, crisp details, professional photography"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged hispanic woman wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, warm smile, slightly parted lips, content mood, slight three-quarter view portrait, dramatic side lighting, blurred tech lab background, detailed texture, dslr photo"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged hispanic woman wearing a compact gray VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, cheerful grin, bright smile, lifted cheeks, close-up portrait, front view, dramatic side lighting, clean neutral background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged asian man wearing a high-tech VR head-mounted display, upper half of face hidden behind the VR headset, jaw and lips clearly visible, gentle happy smile, relaxed joyful face, medium close-up, centered composition, studio lighting, dark gray studio background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one teenage woman wearing a modern white VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, warm smile, slightly parted lips, content mood, tight portrait framing, frontal angle, natural window light, plain white background, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one elderly asian man wearing a matte black VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, amused smile, soft laughter, medium close-up, centered composition, studio lighting, clean neutral background, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one adult african man wearing a modern white VR headset, eyes fully occluded by the VR visor, expressive lower face visible, laughing happily, open mouth laugh, joyful mood, medium close-up, centered composition, dramatic side lighting, dark gray studio background, crisp details, professional photography"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged european man wearing a wireless VR headset with head strap, head-mounted display covering both eyes, mouth and chin clearly visible, broad smile showing teeth, happy mood, upper body portrait, facing camera, soft diffused lighting, blurred living room background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one young indian man wearing a high-tech VR head-mounted display, head-mounted display covering both eyes, mouth and chin clearly visible, broad smile showing teeth, happy mood, upper body portrait, facing camera, cool blue tech lighting, white seamless backdrop, detailed texture, dslr photo"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one elderly woman wearing a high-tech VR head-mounted display, eyes fully occluded by the VR visor, expressive lower face visible, gentle happy smile, relaxed joyful face, tight portrait framing, frontal angle, dramatic side lighting, clean neutral background, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one elderly east asian woman wearing a matte black VR goggles, head-mounted display covering both eyes, mouth and chin clearly visible, joyful expression, wide open-mouth smile, raised cheeks, tight portrait framing, frontal angle, studio lighting, dark gray studio background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged hispanic man wearing a futuristic silver VR headset, VR goggles covering the eyes, visible mouth and chin, delighted expression, beaming smile, dimpled cheeks, head-and-shoulders shot, eye-level camera, cool blue tech lighting, dimly lit room background, ultra detailed, realistic skin pores"
happy,"masterpiece, photorealistic, studio portrait of one adult east asian man wearing a glossy white VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, amused smile, soft laughter, front view, head and shoulders portrait, dramatic side lighting, blurred living room background, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one teenage east asian man wearing a glossy white VR goggles, VR goggles covering the eyes, visible mouth and chin, excited happy expression, grinning widely, upper body portrait, facing camera, bright high-key lighting, cyberpunk neon background with bokeh, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one adult woman wearing a matte black VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, tight portrait framing, frontal angle, rim lighting, soft gradient background, crisp details, professional photography"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one elderly east asian man wearing a sleek black VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, cheerful grin, bright smile, lifted cheeks, upper body portrait, facing camera, bright high-key lighting, soft gradient background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one young hispanic woman wearing a compact gray VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, excited happy expression, grinning widely, close-up face shot, symmetrical composition, warm golden lighting, soft gradient background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged man wearing a futuristic silver VR headset, eyes fully occluded by the VR visor, expressive lower face visible, warm smile, slightly parted lips, content mood, front view, head and shoulders portrait, warm golden lighting, dimly lit room background, crisp details, professional photography"
happy,"masterpiece, photorealistic, studio portrait of one elderly african woman wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, cheerful grin, bright smile, lifted cheeks, close-up face shot, symmetrical composition, soft diffused lighting, futuristic interior background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one adult indian woman wearing a glossy white VR goggles, head-mounted display covering both eyes, mouth and chin clearly visible, laughing happily, open mouth laugh, joyful mood, close-up face shot, symmetrical composition, dramatic side lighting, soft gradient background, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged asian man wearing a modern white VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, excited happy expression, grinning widely, medium close-up, centered composition, moody low-key lighting, soft gradient background, high resolution, fine skin detail"
happy,"best quality, highly detailed, professional portrait photo of one teenage european woman wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, excited happy expression, grinning widely, slight three-quarter view portrait, rim lighting, plain white background, detailed texture, dslr photo"
happy,"best quality, highly detailed, professional portrait photo of one teenage east asian man wearing a matte black VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, joyful expression, wide open-mouth smile, raised cheeks, head-and-shoulders shot, eye-level camera, cool blue tech lighting, clean neutral background, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one teenage hispanic man wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, cheerful grin, bright smile, lifted cheeks, medium close-up, centered composition, dramatic side lighting, black seamless background, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, realistic photo of one young asian woman wearing a wireless VR headset with head strap, head-mounted display covering both eyes, mouth and chin clearly visible, amused smile, soft laughter, upper body portrait, facing camera, rim lighting, clean neutral background, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged african man wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, amused smile, soft laughter, slight three-quarter view portrait, cinematic lighting, plain white background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged european man wearing a compact gray VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, amused smile, soft laughter, front view, head and shoulders portrait, moody low-key lighting, soft gradient background, detailed texture, dslr photo"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one adult man wearing a futuristic silver VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, laughing happily, open mouth laugh, joyful mood, slight three-quarter view portrait, softbox lighting, soft gradient background, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one teenage asian woman wearing a futuristic silver VR headset, VR goggles covering the eyes, visible mouth and chin, warm smile, slightly parted lips, content mood, front view, head and shoulders portrait, soft diffused lighting, black seamless background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one elderly european woman wearing a modern white VR headset, eyes fully occluded by the VR visor, expressive lower face visible, delighted expression, beaming smile, dimpled cheeks, slight three-quarter view portrait, soft diffused lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, best quality, realistic photo of one elderly african woman wearing a sleek black VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, joyful expression, wide open-mouth smile, raised cheeks, slight three-quarter view portrait, bright high-key lighting, minimalist office background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one middle-aged indian man wearing a futuristic silver VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, warm smile, slightly parted lips, content mood, upper body portrait, facing camera, softbox lighting, white seamless backdrop, ultra detailed, realistic skin pores"
happy,"masterpiece, photorealistic, studio portrait of one teenage african woman wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, amused smile, soft laughter, close-up portrait, front view, soft diffused lighting, white seamless backdrop, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one adult african woman wearing a sleek black VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, radiant smile, cheerful energy, tight portrait framing, frontal angle, studio lighting, blurred living room background, detailed texture, dslr photo"
happy,"masterpiece, photorealistic, studio portrait of one teenage african man wearing a modern white VR headset, VR goggles covering the eyes, visible mouth and chin, broad smile showing teeth, happy mood, slight three-quarter view portrait, rim lighting, cyberpunk neon background with bokeh, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one elderly middle eastern woman wearing a futuristic silver VR headset, eyes fully occluded by the VR visor, expressive lower face visible, warm smile, slightly parted lips, content mood, close-up portrait, front view, warm golden lighting, dark gray studio background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, realistic photo of one middle-aged hispanic woman wearing a modern white VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, gentle happy smile, relaxed joyful face, close-up face shot, symmetrical composition, warm golden lighting, white seamless backdrop, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, realistic photo of one teenage east asian woman wearing a matte black VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, euphoric expression, big laughing smile, upper body portrait, facing camera, dramatic side lighting, futuristic interior background, sharp focus, detailed skin texture"
happy,"masterpiece, photorealistic, studio portrait of one elderly indian man wearing a futuristic silver VR headset, eyes fully occluded by the VR visor, expressive lower face visible, amused smile, soft laughter, front view, head and shoulders portrait, cinematic lighting, dimly lit room background, sharp focus, detailed skin texture"
happy,"best quality, highly detailed, professional portrait photo of one elderly african man wearing a high-tech VR head-mounted display, head-mounted display covering both eyes, mouth and chin clearly visible, amused smile, soft laughter, close-up portrait, front view, neon ambient lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one adult indian man wearing a wireless VR headset with head strap, VR goggles covering the eyes, visible mouth and chin, delighted expression, beaming smile, dimpled cheeks, medium close-up, centered composition, cool blue tech lighting, soft gradient background, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, realistic photo of one teenage woman wearing a matte black VR goggles, VR goggles covering the eyes, visible mouth and chin, radiant smile, cheerful energy, medium close-up, centered composition, natural window light, dark gray studio background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, realistic photo of one young asian man wearing a wireless VR headset with head strap, eyes fully occluded by the VR visor, expressive lower face visible, delighted expression, beaming smile, dimpled cheeks, close-up face shot, symmetrical composition, soft diffused lighting, futuristic interior background, sharp focus, high detail, 8k"
happy,"best quality, highly detailed, professional portrait photo of one elderly asian woman wearing a sleek black VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, laughing happily, open mouth laugh, joyful mood, tight portrait framing, frontal angle, moody low-key lighting, soft gradient background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one young hispanic man wearing a glossy white VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, cheerful grin, bright smile, lifted cheeks, upper body portrait, facing camera, cool blue tech lighting, clean neutral background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one middle-aged hispanic man wearing a wireless VR headset with head strap, eyes fully occluded by the VR visor, expressive lower face visible, gentle happy smile, relaxed joyful face, upper body portrait, facing camera, natural window light, clean neutral background, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one middle-aged european man wearing a glossy white VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, delighted expression, beaming smile, dimpled cheeks, tight portrait framing, frontal angle, neon ambient lighting, minimalist office background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one elderly middle eastern woman wearing a modern white VR headset, eyes fully occluded by the VR visor, expressive lower face visible, amused smile, soft laughter, upper body portrait, facing camera, softbox lighting, dark gray studio background, ultra detailed, realistic skin pores"
happy,"best quality, highly detailed, professional portrait photo of one teenage indian man wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, warm smile, slightly parted lips, content mood, front view, head and shoulders portrait, warm golden lighting, blurred tech lab background, sharp focus, detailed skin texture"
happy,"masterpiece, best quality, realistic photo of one young african woman wearing a high-tech VR head-mounted display, eyes fully occluded by the VR visor, expressive lower face visible, delighted expression, beaming smile, dimpled cheeks, close-up face shot, symmetrical composition, neon ambient lighting, dark gray studio background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one teenage european man wearing a compact gray VR headset, eyes fully occluded by the VR visor, expressive lower face visible, radiant smile, cheerful energy, close-up portrait, front view, neon ambient lighting, minimalist office background, sharp focus, detailed skin texture"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged african man wearing a futuristic silver VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, joyful expression, wide open-mouth smile, raised cheeks, slight three-quarter view portrait, studio lighting, cyberpunk neon background with bokeh, ultra detailed, realistic skin pores"
happy,"best quality, highly detailed, professional portrait photo of one teenage east asian man wearing a compact gray VR headset, eyes fully occluded by the VR visor, expressive lower face visible, joyful expression, wide open-mouth smile, raised cheeks, close-up portrait, front view, warm golden lighting, plain white background, high resolution, fine skin detail"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged middle eastern woman wearing a high-tech VR head-mounted display, VR goggles covering the eyes, visible mouth and chin, playful grin, upturned mouth corners, front view, head and shoulders portrait, dramatic side lighting, futuristic interior background, high resolution, fine skin detail"
happy,"masterpiece, photorealistic, studio portrait of one elderly european man wearing a modern white VR headset, VR goggles covering the eyes, visible mouth and chin, warm smile, slightly parted lips, content mood, front view, head and shoulders portrait, neon ambient lighting, black seamless background, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one teenage european man wearing a sleek black VR headset, head-mounted display covering both eyes, mouth and chin clearly visible, excited happy expression, grinning widely, tight portrait framing, frontal angle, soft diffused lighting, soft gradient background, ultra detailed, realistic skin pores"
happy,"best quality, highly detailed, professional portrait photo of one teenage woman wearing a high-tech VR head-mounted display, eyes fully occluded by the VR visor, expressive lower face visible, broad smile showing teeth, happy mood, slight three-quarter view portrait, cool blue tech lighting, dimly lit room background, ultra detailed, realistic skin pores"
happy,"masterpiece, best quality, realistic photo of one middle-aged man wearing a compact gray VR headset, VR goggles covering the eyes, visible mouth and chin, delighted expression, beaming smile, dimpled cheeks, tight portrait framing, frontal angle, softbox lighting, black seamless background, crisp details, professional photography"
happy,"best quality, highly detailed, professional portrait photo of one middle-aged african woman wearing a glossy white VR goggles, eyes fully occluded by the VR visor, expressive lower face visible, playful grin, upturned mouth corners, front view, head and shoulders portrait, neon ambient lighting, cyberpunk neon background with bokeh, detailed texture, dslr photo"
happy,"masterpiece, best quality, realistic photo of one young african man wearing a modern white VR headset, upper half of face hidden behind the VR headset, jaw and lips clearly visible, gentle happy smile, relaxed joyful face, head-and-shoulders shot, eye-level camera, bright high-key lighting, futuristic interior background, crisp details, professional photography"
happy,"masterpiece, best quality, ultra detailed, photorealistic portrait photograph of one middle-aged european man wearing a high-tech VR head-mounted display, upper half of face hidden behind the VR headset, jaw and lips clearly visible, excited happy expression, grinning widely, upper body portrait, facing camera, softbox lighting, white seamless backdrop, sharp focus, high detail, 8k"
happy,"masterpiece, photorealistic, studio portrait of one young asian woman wearing a wireless VR headset with head strap, VR goggles covering the eyes, visible mouth and chin, amused smile, soft laughter, close-up face shot, symmetrical composition, neon ambient lighting, black seamless background, sharp focus, high detail, 8k"
happy,"masterpiece, best quality, realistic photo of one adult hispanic man wearing a compact gray VR headset, VR goggles covering the eyes, visible mouth and chin, euphoric expression, big laughing smile, slight three-quarter view portrait, bright high-key lighting, plain white background, crisp details, professional photography"
happy,"masterpiece, best quality, realistic photo of one teenage indian man wearing a glossy white VR goggles, upper half of face hidden behind the VR headset, jaw and lips clearly visible, broad smile showing teeth, happy mood, medium close-up, centered composition, soft diffused lighting, blurred tech lab background, ultra detailed, realistic skin pores"
